Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.341201,0.5364,0.5472,46.38
1,0.292141,0.5682,0.5452,45.09
2,0.270976,0.5848,0.5358,43.02
3,0.257007,0.5966,0.5167,40.47
4,0.246455,0.6039,0.5385,40.57
5,0.236605,0.6109,0.4526,40.56
6,0.227860,0.6178,0.4182,40.52
7,0.220668,0.6236,0.4775,40.66
8,0.215051,0.6259,0.4897,40.86
9,0.208711,0.6314,0.4984,40.65
10,0.204535,0.6351,0.5241,40.48
11,0.198100,0.6414,0.5370,40.52
12,0.195378,0.6423,0.4571,40.56
13,0.189839,0.6473,0.5602,40.50
14,0.186833,0.6500,0.5547,40.48
15,0.184694,0.6526,0.5456,40.56
16,0.180021,0.6569,0.5469,40.46
17,0.176937,0.6593,0.5270,40.51
18,0.175227,0.6611,0.5540,40.58
19,0.172060,0.6640,0.5219,40.79
20,0.170503,0.6652,0.5506,40.55
21,0.167942,0.6691,0.5196,40.78
22,0.165158,0.6710,0.4856,40.59
23,0.163397,0.6729,0.5557,40.64
24,0.163024,0.6736,0.5538,40.63
25,0.162562,0.6737,0.5285,40.50
26,0.159364,0.6771,0.5098,41.10
27,0.157509,0.6794,0.5603,40.51
28,0.155046,0.6815,0.5081,40.88
29,0.154385,0.6823,0.5574,40.79
30,0.151996,0.6850,0.5331,40.77
31,0.150819,0.6866,0.5421,40.57
32,0.150244,0.6873,0.5326,40.70
33,0.148960,0.6887,0.4842,40.57
34,0.147648,0.6906,0.5606,40.92
35,0.146386,0.6914,0.5266,40.73
36,0.145866,0.6925,0.5267,40.57
37,0.144965,0.6932,0.5604,40.71
38,0.144716,0.6942,0.5506,40.90
39,0.142139,0.6964,0.5461,40.52
40,0.140700,0.6983,0.5439,40.53
41,0.141387,0.6975,0.5414,40.54
42,0.139142,0.7007,0.5562,40.50
43,0.138905,0.7002,0.5624,40.69
44,0.138039,0.7015,0.5400,40.55
45,0.137036,0.7031,0.5290,41.40
46,0.136590,0.7036,0.5643,40.57
47,0.135463,0.7045,0.4246,40.47
48,0.135253,0.7054,0.5286,40.65
49,0.134731,0.7060,0.5117,40.88
50,0.134502,0.7059,0.4913,40.78
51,0.133296,0.7078,0.5418,40.61
52,0.132740,0.7082,0.4765,40.65
53,0.132190,0.7089,0.5235,40.90
54,0.131386,0.7103,0.5570,40.77
55,0.131514,0.7100,0.5396,40.72
56,0.130272,0.7114,0.5339,40.65
57,0.129952,0.7121,0.5427,40.77
58,0.130052,0.7118,0.5512,41.31
59,0.128627,0.7140,0.5624,40.91
60,0.128336,0.7142,0.5029,40.76
61,0.127321,0.7152,0.5271,40.51
62,0.127544,0.7153,0.4678,40.68
63,0.127148,0.7155,0.5643,40.69
64,0.126632,0.7163,0.5349,40.48
65,0.125923,0.7169,0.5596,40.90
66,0.125285,0.7181,0.5561,40.57
67,0.125414,0.7176,0.5327,40.55
68,0.124280,0.7191,0.5507,40.58
69,0.125424,0.7180,0.5685,41.98
70,0.124499,0.7189,0.5521,40.49
71,0.123217,0.7214,0.4837,40.48
72,0.123496,0.7203,0.5220,40.63
73,0.122930,0.7210,0.5612,40.55
74,0.122634,0.7219,0.5615,40.59
75,0.121636,0.7231,0.4900,40.93
76,0.121517,0.7231,0.5688,40.54
77,0.122012,0.7224,0.5225,40.53
78,0.120637,0.7240,0.5305,41.03
79,0.120906,0.7242,0.5290,40.55
80,0.120015,0.7254,0.5654,40.55
81,0.119616,0.7254,0.5637,40.69
82,0.119147,0.7266,0.5550,40.57
83,0.119169,0.7264,0.5260,40.91
84,0.118511,0.7274,0.5547,40.57
85,0.118201,0.7274,0.5469,40.80
86,0.118141,0.7277,0.5588,40.75
87,0.117900,0.7278,0.4626,40.68
88,0.116612,0.7297,0.5448,41.01
89,0.117021,0.7295,0.5461,40.54
90,0.116904,0.7295,0.5750,40.55
91,0.116526,0.7299,0.5440,40.52
92,0.116104,0.7302,0.5262,41.10
93,0.116202,0.7304,0.5336,40.60
94,0.115476,0.7313,0.5583,40.50
95,0.115816,0.7310,0.5081,40.56
96,0.115222,0.7322,0.5391,40.58
97,0.114480,0.7330,0.5191,41.09
98,0.114291,0.7331,0.5492,40.53
99,0.114405,0.7332,0.4933,40.82
100,0.114545,0.7327,0.4814,40.54
101,0.113706,0.7338,0.5516,40.48
102,0.113763,0.7338,0.5027,40.58
103,0.112959,0.7353,0.5201,40.56
104,0.113124,0.7347,0.5343,40.70
105,0.112905,0.7348,0.5061,40.57
106,0.112052,0.7365,0.5524,40.51
107,0.112461,0.7359,0.4940,40.57
108,0.112096,0.7360,0.5017,40.76
109,0.112025,0.7366,0.5499,40.72
110,0.111433,0.7373,0.5524,40.54
111,0.110788,0.7383,0.5288,40.82
112,0.111165,0.7375,0.5580,40.57
113,0.110486,0.7389,0.4005,41.13
114,0.110560,0.7387,0.5103,40.56
115,0.110287,0.7389,0.5467,41.15
116,0.109956,0.7397,0.5090,40.70
117,0.109852,0.7395,0.5121,40.61
118,0.109969,0.7394,0.5427,40.53
119,0.109004,0.7410,0.4995,40.55
120,0.108923,0.7411,0.5213,40.53
121,0.109431,0.7404,0.5557,41.23
122,0.108626,0.7413,0.5151,40.70
123,0.108552,0.7422,0.5589,40.54
124,0.108116,0.7421,0.5088,40.62
125,0.107717,0.7429,0.5499,41.27
126,0.107976,0.7425,0.4144,40.75
127,0.107805,0.7428,0.5601,40.62
128,0.107221,0.7438,0.5544,40.56
129,0.107602,0.7429,0.5580,40.56
130,0.106556,0.7448,0.5423,40.95
131,0.107045,0.7442,0.5647,40.58
132,0.106831,0.7444,0.5654,40.52
133,0.106301,0.7454,0.5366,40.57
134,0.105726,0.7460,0.5282,40.74
135,0.106061,0.7457,0.5605,40.73
136,0.105758,0.7457,0.5537,40.55
137,0.105285,0.7469,0.5405,40.77
138,0.105321,0.7467,0.5066,41.03
139,0.105414,0.7469,0.5556,40.97
140,0.104498,0.7481,0.5591,40.61
141,0.105151,0.7473,0.5520,42.57
142,0.104210,0.7486,0.4981,40.67
143,0.104375,0.7482,0.5356,40.98
144,0.103820,0.7493,0.5512,40.54
145,0.103622,0.7494,0.5328,40.62
146,0.103602,0.7494,0.5573,40.71
147,0.103571,0.7497,0.5353,40.45
148,0.103062,0.7505,0.5439,40.89
149,0.103310,0.7502,0.5665,40.69
150,0.102461,0.7514,0.5580,40.59
